accX,accY,accZ,gyroX,gyroY,gyroZ
-9.6305,-1.9023,1.2006,-0.0658,0.1990,0.1964
-9.6305,-1.9023,1.2006,-0.0924,0.1990,0.1964
-11.0357,-1.5817,0.7466,-0.3595,0.1689,0.2514
-14.8295,2.1559,-1.3107,-0.5370,0.3645,1.0498
-15.6389,4.9256,-4.6612,0.1944,1.4708,3.0685
-12.6879,5.1260,-5.6447,0.2976,3.2119,4.5496
-11.4598,6.3176,0.4528,0.7509,3.9729,5.0036
-8.4509,1.9920,0.6628,0.7769,3.6776,4.5647
-5.2744,-0.0269,2.0931,0.5574,2.0365,2.2967
-10.5308,1.9155,1.7773,0.4410,-0.0939,-2.2834
-10.3083,1.7198,1.9292,0.4142,-0.1336,-2.2700
-9.3075,2.0441,2.1428,0.3557,-0.2732,-2.1412
-7.6026,2.1625,1.5655,-0.0389,-0.3853,-1.7335
-6.5318,1.5332,1.4949,0.2857,-0.3506,-1.2671
-6.4642,0.0036,1.5607,0.1426,-0.2373,-0.7013
-7.9418,-2.2044,1.2939,-0.1058,-0.0625,-0.2330
-9.0802,-3.7430,1.1139,0.3367,0.2943,0.1846
-8.8702,-0.9284,-2.1577,-1.1852,1.1706,1.0513
-9.7980,4.7641,-9.0604,0.0924,3.0198,2.7373
-14.2140,6.8716,-9.2608,1.0423,4.9750,4.8836
-16.7294,2.0566,-5.8505,1.6725,5.0036,4.8767
-10.1827,-2.3402,2.1751,2.1076,5.0036,2.3531
-4.9334,1.7647,4.5882,-0.2802,2.9447,0.2465
-4.1204,3.4582,-3.8136,-0.1071,-0.1681,-0.7720
-8.8875,-0.4026,0.3200,-0.4734,-0.0582,0.0055
-8.6279,-0.4510,-0.2267,-0.4734,-0.0347,0.0832
-8.6100,1.1103,-2.7021,-0.5878,0.1520,0.3034
-9.6568,4.8455,-9.5462,-0.0953,1.4442,1.4468
-12.8961,4.7462,-11.5807,0.9047,4.2748,3.2687
-17.1948,3.5318,-8.1045,1.7761,5.0036,4.1835
-14.3013,2.7996,-0.7825,1.6918,5.0036,3.6711
-4.2814,-1.3358,2.4873,0.4320,4.3935,2.3521
-0.9075,-0.8088,-1.8796,-0.7990,0.5414,0.4995
-10.2341,-0.6144,-3.2716,0.5176,0.0892,0.0432
-10.1013,-0.2949,-2.8373,0.8896,0.2941,0.0834
-10.4285,1.0020,-2.0596,0.1878,0.9189,0.3832
-10.5906,2.4329,-5.0949,0.6736,2.5969,1.3354
-12.2985,3.1478,-7.0582,0.6614,4.9077,2.4340
-13.8873,4.1300,-6.7848,0.6422,5.0036,3.2982
-12.6239,3.0520,-4.6164,1.5737,5.0036,3.4068
-7.4088,0.0897,-1.5392,1.3213,5.0036,2.4694
-10.8538,-1.0588,-2.2570,0.1675,0.8813,-0.1804
-10.5488,-0.6951,-2.3833,0.4794,1.0689,-0.1432
-11.4054,2.5442,-1.7827,0.9549,1.7208,0.2854
-11.4168,4.0654,-5.3533,-0.0118,3.2745,2.0916
-13.4530,1.7420,-8.9671,1.2816,5.0036,3.1030
-15.7807,3.4116,-6.9284,1.8019,5.0036,3.0230
-13.6391,3.5468,-3.3350,2.5908,5.0036,2.5152
-5.9474,-0.2231,0.0197,1.7240,5.0036,1.7649
0.7370,-2.4766,-0.0245,0.9261,2.5705,0.5447
-10.0744,0.2028,-0.2201,0.3509,0.9656,0.2329
-9.8806,0.4475,0.0891,0.1576,1.1889,0.3276
-10.1204,2.1613,-0.6724,-0.5130,1.6266,0.6527
-12.1334,5.0518,-5.4963,1.4858,3.3972,1.9322
-13.8515,1.3412,-7.0582,0.9105,5.0036,2.9984
-15.4720,1.4931,-6.6233,2.1469,5.0036,2.6577
-14.6195,1.7210,-6.8644,1.7417,5.0036,2.0394
-9.4283,-0.8943,1.4501,-0.2938,1.5270,0.4957
-9.3416,-0.8363,1.4423,-0.4768,1.5889,0.5374
-9.4780,1.0582,0.7436,-0.3879,1.7006,0.7045
-11.3516,3.0622,-4.6181,0.3541,3.0501,1.9222
-14.1123,2.0279,-10.5117,0.7321,5.0036,2.7920
-16.8790,3.4935,-7.7898,1.4076,5.0036,2.8630
-14.9378,3.1244,-3.8136,1.8092,5.0036,2.7745
-7.3639,0.6269,-0.7543,1.6254,5.0036,2.2883
-0.4654,-2.6632,-1.1180,1.0545,2.8529,1.2320
-10.5781,3.5426,-6.6742,0.9409,1.1208,0.3497
-10.6176,3.3129,-8.8223,0.9409,1.4394,0.4336
-10.5512,4.4495,-11.7428,1.1112,2.4671,0.6941
-11.9204,2.5059,-9.3697,1.6623,4.9375,1.1429
-12.4229,3.4211,-6.2548,0.8990,5.0036,1.4152
-9.9147,2.6560,-3.3488,1.2767,5.0036,1.4427
-4.7055,0.1155,-1.7773,0.4114,3.8593,1.1345
-1.4734,-0.7555,-3.6700,0.0475,1.4781,0.2610
-1.1713,0.2435,-6.9559,0.0831,-0.3105,-0.6593
-2.1840,1.9944,-7.7324,0.5501,-1.3712,-0.9248
-10.4578,3.3781,-5.2828,-0.0518,2.1163,0.7309
-10.4578,3.3781,-5.2828,-0.0518,2.1163,0.7309
-11.6931,5.3641,-5.5645,0.3351,3.2503,1.3925
-13.8897,3.1753,-8.9515,1.4236,5.0025,2.4832
-15.1962,2.9133,-7.4608,1.4438,5.0036,2.1997
-12.4564,3.2800,-3.8213,1.9406,5.0036,2.0210
-5.5711,0.4475,0.2967,0.6773,4.9437,1.7240
0.3529,-2.4903,-2.0261,0.5748,1.9639,0.8236
-0.1579,0.2040,-4.0104,-0.4559,-0.7683,-0.6448
-3.6341,2.5795,-7.3567,-0.4099,-2.5502,-1.3621
-10.5769,0.0072,-5.3695,1.9795,3.2176,1.4856
-9.8955,-0.2794,-4.6086,1.9966,3.2411,1.6628
-8.3563,1.6983,-2.0548,1.2900,3.1927,2.0461
-8.2014,8.0309,-1.0295,-0.3696,2.4845,4.2787
-6.2327,2.5184,-3.6066,0.5962,2.0530,4.8936
-5.1057,0.7484,-8.2307,2.2364,2.3337,2.4198
-6.6215,3.9404,-3.1184,1.8150,2.0869,-0.2141
-5.3952,3.9069,-4.6672,1.1736,0.8560,-0.6774
-3.7765,0.9428,-7.1539,2.1938,-0.0964,-0.9595
-10.1563,1.1611,-6.5761,0.8922,1.5536,0.7830
-10.3537,1.1695,-6.4050,0.9281,1.8941,0.9760
-11.0973,1.3388,-8.4574,0.3815,2.6516,1.3051
-14.3378,2.3713,-10.2150,1.0038,4.9863,2.1840
-15.1645,0.3320,-5.0112,1.2831,5.0036,2.5982
-10.3860,-1.5296,-3.0999,1.6095,5.0036,2.1698
-4.4949,-1.1683,-1.1228,0.5800,3.7609,1.4998
-10.3908,1.3705,-3.5623,0.8610,1.0128,0.3181
-10.3777,1.3956,-3.8722,1.3885,1.3662,0.4140
-11.3198,2.9767,-4.7121,1.4681,2.1567,0.6752
-12.9194,1.5170,-6.8471,0.9114,4.4821,1.7839
-15.6012,1.5488,-4.4650,2.1072,5.0036,1.9108
-15.1185,2.9982,-3.9864,0.6570,5.0036,2.0414
-10.2239,0.6275,-2.8463,2.1351,5.0036,1.6565
-4.7426,-0.6407,-2.4431,0.4369,3.6551,0.9710
-1.6385,-1.3161,-3.5318,1.0947,0.8876,-0.2140
-10.0385,2.1105,-3.1693,-0.0470,1.3636,0.5426
-10.0385,2.1105,-3.1693,-0.0470,1.3636,0.5426
-10.8431,2.6818,-4.5069,-0.0596,2.3781,1.3053
-13.1749,1.7486,-7.7408,1.1153,4.6936,2.2093
-15.7304,1.8251,-7.6349,0.7708,5.0036,2.4198
-16.2395,1.9400,-6.3057,2.7161,5.0036,2.0856
-10.6534,0.7561,-2.8792,1.0841,5.0036,1.5307
-3.5533,-1.3962,-0.1071,1.5450,3.7993,0.6932
-0.6694,-2.3306,-1.7474,-0.0157,0.4617,-0.3603
-8.6207,2.0572,-1.9113,-0.0643,1.4299,0.7427
-8.6207,2.0572,-1.9113,-0.0643,1.4299,0.7427
-9.9105,2.2768,-5.4425,-0.5137,2.5133,1.5148
-13.0965,2.2666,-5.7817,2.1261,4.7455,2.4286
-15.5139,1.5452,-4.6917,1.6264,5.0036,2.5974
-16.0032,1.8024,-5.2534,1.5359,5.0036,2.2046
-12.0102,0.5659,-4.6301,1.0314,5.0036,1.8198
-6.1986,0.8841,-3.3607,0.6529,4.9613,1.4502
-0.8608,-0.4917,-3.3494,0.4068,2.5078,0.8520
-11.8768,1.8138,-4.0624,1.3091,4.0838,1.0831
-11.9743,1.9759,-3.8303,1.3512,4.3685,1.1723
-12.7448,2.7452,-2.5304,0.7540,4.8422,1.3434
-13.5410,-0.0520,-5.0339,0.8175,5.0036,1.7860
-10.7258,0.5348,-2.7272,1.2087,5.0033,0.7443
-8.2247,2.6931,-5.8128,-0.7772,4.2484,1.0566
-9.0766,0.5067,0.1609,0.7831,1.5760,0.4078
-9.0718,0.5378,-0.3314,0.5835,1.7958,0.5473
-9.5629,0.9846,-1.8287,0.1229,2.3089,0.8228
-11.3653,1.2945,-4.0283,0.9626,3.9138,1.4948
-12.8411,-0.1848,-3.5468,1.2982,5.0036,1.6351
-14.1254,0.8082,-4.3436,0.5037,5.0036,1.2617
-12.3242,1.4836,-5.8917,0.1326,5.0036,1.1449
-8.8373,0.5611,-8.5508,0.4734,5.0036,1.1916
-8.7745,-0.9954,-1.2634,0.0771,0.3575,-0.2627
-8.7745,-0.9954,-1.2634,0.0771,0.3575,-0.2627
-9.2333,-0.5611,0.1687,0.2566,0.8829,-0.0356
-9.6461,-0.3511,-2.6273,0.3809,2.0400,0.5020
-10.6786,-0.6987,-3.4887,0.4317,3.7759,0.7952
-13.0086,-0.0437,-4.6959,-0.4273,5.0036,1.0234
-13.6313,0.8596,-6.9559,0.0122,5.0036,1.2401
-11.1147,-0.2225,-4.9059,0.3509,5.0036,1.1387
-6.3111,-0.9159,-4.4429,0.2427,4.3216,0.7080
-2.5777,-0.5659,-7.3950,0.7744,2.7907,0.1591
-10.4489,-0.3679,-2.7906,-0.7538,-2.3721,-0.5855
-9.9685,-0.3745,-3.3039,-0.5965,-2.0154,-0.5336
-10.0110,0.3583,-4.1300,0.0165,-0.7414,-0.2947
-10.9448,0.8584,-6.9787,0.3888,2.8030,0.7706
-14.2229,-0.8453,-4.1157,1.3601,5.0036,1.1252
-16.9316,0.4110,-3.3506,0.6510,5.0036,1.2625
-15.8937,0.4965,-4.6463,0.5173,5.0036,1.2649
-11.3097,-1.2233,-5.9103,0.2263,5.0036,1.0088
-6.0969,-0.4391,-1.3537,1.1336,4.9662,0.3296
-9.7017,1.2544,-2.9833,-0.1116,2.3819,0.1361
-9.7017,1.5739,-3.2602,-0.1116,2.3819,0.1361
-11.7314,1.9334,-4.0493,0.7210,3.7257,0.6787
-14.6501,0.1884,-2.6566,0.9453,5.0036,1.3071
-15.6640,-0.9440,-2.7990,0.3418,5.0036,1.4068
-14.4838,-0.6150,-6.3123,1.0408,5.0036,0.9864
-11.3539,-0.5007,-7.5212,0.4468,5.0036,0.4386
-5.7338,-0.0479,-6.0102,0.5021,5.0036,0.4180
-10.3286,1.3663,-7.0062,0.0188,2.5050,0.6296
-10.3286,1.3663,-7.0062,0.0188,2.5050,0.6296
-12.3057,1.8239,-5.3689,1.2335,4.2128,1.0201
-15.0108,0.4026,-2.8762,0.7372,5.0036,1.5134
-15.2602,-1.4734,-4.1216,1.4193,5.0036,0.8560
-13.8084,0.8363,-6.9434,0.1072,5.0036,0.2815
-9.7358,0.2040,-7.1175,0.8476,5.0036,0.3102
-3.9230,-0.5007,-2.0722,-0.2801,5.0021,0.0896
-12.7454,3.5007,-1.6869,-1.2474,-4.2567,-1.1098
-12.7454,3.5007,-1.6869,-1.2474,-4.2567,-1.1098
-10.3579,1.0953,-2.4867,-1.4080,-3.1672,-0.3164
-7.9005,-1.7097,-2.2391,0.3604,-1.3618,-0.0935
-8.7087,-0.2070,-5.0782,-0.1425,0.7895,0.0499
-11.3689,2.3659,-4.3663,1.8744,3.3506,0.6576
-14.5179,0.8106,-4.0959,1.2141,5.0036,1.1672
-16.8598,1.1653,-3.4642,1.3470,5.0036,1.1362
-15.4708,0.3248,-2.4939,0.2170,5.0036,1.1438
-11.9767,-0.3500,-3.6963,0.9632,5.0036,0.8030
-7.7821,-0.7501,-4.7910,0.6930,-0.0382,0.2195
-7.7821,-0.7501,-4.7910,0.6930,-0.0382,0.2195
-8.1846,-0.7741,-4.8078,-0.1631,1.5693,0.7030
-11.7386,1.5954,-3.7190,0.4064,4.2258,1.2711
-15.1603,0.4624,-2.1111,0.6559,5.0036,2.2597
-14.4383,-1.9771,-3.2590,1.1582,5.0036,1.6848
-12.9051,-0.3595,-5.2869,0.4549,5.0036,0.7474
-8.9551,0.3787,-7.6493,0.1381,5.0036,0.6125
-5.0770,-0.9882,-6.5192,0.6429,4.6198,0.2126
-8.1841,0.3290,-3.6419,0.4236,2.0296,0.3346
-8.6453,0.3290,-3.6419,0.1226,2.5606,0.5597
-9.4331,0.0843,-3.7992,-0.1005,3.4734,0.9780
-13.1677,0.8058,-4.1797,0.7311,5.0036,1.8013
-15.4433,-0.5922,-4.4554,1.8589,5.0036,1.8095
-14.3851,-0.6760,-7.1354,0.9383,5.0036,1.0554
-11.0842,-0.5868,-6.2237,0.2523,5.0036,0.5646
-8.8361,0.2596,-1.9807,-0.3377,-1.3494,-0.7306
-8.7200,1.1653,-2.3139,0.1393,-0.9462,-0.5374
-8.2289,1.4901,-2.7655,1.2121,0.4916,0.1949
-9.5504,-1.3944,-5.0913,0.6081,3.4189,1.2266
-14.0166,0.3840,-3.0628,1.3719,5.0036,1.4348
-16.5398,0.3751,-3.0586,1.1353,5.0036,1.8327
-16.1402,0.3302,-4.0175,0.5933,5.0036,1.7039
-13.3520,-0.6377,-7.2138,0.4485,5.0036,1.6228
-7.9394,-1.4973,-4.1318,0.9653,5.0036,0.5330
-2.1182,-0.9852,-4.1916,0.5655,4.5458,-0.1005
-12.9631,1.1450,-5.8995,-0.2133,-4.3330,-1.2341
-12.9631,1.1450,-6.3033,-0.2133,-4.3330,-1.2341
-10.5918,0.5833,-5.8816,0.2546,-2.3615,-0.4410
-8.1470,-1.6349,-4.9268,0.7294,0.5336,0.0625
-9.5797,-0.9398,-3.8865,1.2894,3.1406,0.1081
-14.2379,0.9476,-6.1029,1.3879,5.0036,0.3374
-17.0285,0.4175,-4.9190,0.5554,5.0036,0.6432
-15.4050,-1.0331,-5.7643,0.3960,5.0036,0.8940
-19.5966,0.6957,-4.3023,1.1225,5.0036,1.7138
-18.8106,0.2171,-3.6730,0.7769,5.0036,1.7378
-18.8465,-0.6628,-4.7623,0.4539,5.0036,1.6660
-11.6548,-2.8349,-1.0301,0.2480,5.0036,0.5576
-4.3184,-1.8849,1.4506,-0.4078,4.0239,-0.1445
-0.4636,-1.4016,-4.1779,-0.8705,0.9896,-0.4094
-1.6080,0.3260,-9.3500,-0.9030,-0.4569,-0.8544
-1.9807,3.0389,-13.4812,-0.9766,-0.6145,-0.6052
-0.5139,-0.3583,-14.4150,1.7622,0.1396,-0.2185
-10.2832,-2.3515,-5.3970,-0.2891,1.9900,-0.0799
-10.2832,-2.3515,-5.3970,-0.2891,1.9900,-0.0799
-12.1047,-0.9685,-9.5157,-0.3091,4.2376,0.0622
-13.9173,-0.6664,-6.0927,-0.2056,5.0036,0.3473
-11.8917,-3.3805,-6.0156,1.1057,5.0036,0.2540
-8.0363,-1.4518,-4.7169,-0.6678,5.0036,-0.1715
-3.5157,-1.9645,-6.3039,0.5001,3.8109,0.0029
-9.0832,-2.1685,1.3525,-0.1706,-0.7848,-0.0904
-9.0832,-2.1685,1.5182,-0.1706,-0.7848,-0.0904
-8.8696,-1.9663,2.0160,-0.0272,-0.0170,-0.1336
-8.4329,-1.3059,1.1037,0.3459,1.7040,0.2688
-9.3535,-0.8094,0.0060,0.3264,3.5216,0.5696
-11.5980,0.0461,0.4164,-0.2564,4.8860,1.0821
-11.6752,-0.3751,1.2114,-0.0047,5.0036,1.4844
-10.8449,-0.5067,-0.7950,-1.3951,5.0036,1.4206
-9.9410,-0.1597,-6.0084,-1.1122,4.8666,1.1161
-8.9169,0.8261,-9.9649,-1.1196,4.5884,0.7547
-6.6000,0.4199,-10.4351,0.0654,4.0245,0.1095
-3.5342,2.1135,-8.3163,0.5965,2.7312,-0.4181
-2.0752,2.8289,-6.1837,0.9276,0.7804,-0.2476
-7.8748,-1.3836,1.0128,-0.3642,-0.7269,-0.2300
-7.5523,-0.6389,1.0175,-0.3285,-0.3531,-0.2251
-7.8682,0.0275,0.5533,-0.0547,0.8441,0.0200
-8.8361,0.8991,0.7579,0.6675,2.5783,0.5942
-11.5167,1.7635,1.2467,0.4174,4.4346,1.3399
-14.0854,1.4913,0.1507,0.3965,5.0036,1.9849
-13.7922,1.0660,-0.0885,-0.3868,5.0036,2.1156
-11.7805,0.6078,-3.5384,-0.2850,5.0036,1.9102
-8.2798,-0.1633,-2.6249,-0.7439,4.8367,1.0828
-5.5980,2.2445,-3.7801,-0.4404,2.9793,0.3260
-4.7037,5.4239,-6.3027,-0.7083,1.1987,-0.0675
-4.1964,4.5823,-11.1751,0.0134,0.0681,0.0490
-9.1466,-0.5533,-0.9781,-0.0452,-0.4100,0.0305
-9.1466,-0.5533,-0.9781,-0.0452,-0.4100,0.0305
-10.2682,-0.3517,-2.0530,0.1605,0.9997,0.2633
-12.3972,-1.2024,-0.7777,0.7668,3.3326,0.5652
-14.2427,-0.8100,-0.0748,0.5318,4.9573,0.6277
-13.9005,-0.8560,-2.5819,0.0195,5.0036,0.6025
-12.2913,-0.9027,-4.3274,-0.2697,5.0036,0.5501
-10.4853,-0.4355,-3.8267,-0.5924,5.0036,0.6025
-6.6772,-0.9661,-4.0505,-0.9259,5.0036,0.3286
-2.3545,1.0612,-7.8778,-1.3176,4.1670,0.4911
-9.9829,-0.7023,-5.3964,-0.0438,-1.0350,0.1839
-9.8895,-0.8788,-6.0054,-0.0626,-0.3969,0.2755
-10.2191,-0.9667,-6.2231,0.4953,1.5388,0.4859
-13.4339,0.3416,-3.4600,-0.3453,4.3517,0.9995
-14.2582,-2.0207,-1.0403,1.1165,5.0036,0.9471
-13.0893,-0.0712,-2.2187,0.0451,5.0036,0.6944
-10.3687,1.0421,-2.2576,0.4047,4.9854,0.5420
-7.5553,-0.5689,-5.5167,-0.2957,4.5177,0.7885
-4.9292,0.6281,-6.3111,-0.5122,4.1533,0.5767
-9.6748,-0.9314,1.8969,-0.0136,-0.1295,-0.1460
-9.4050,-0.9135,2.0429,-0.0136,-0.1295,-0.1460
-9.5677,-0.3003,0.7334,-1.0644,-0.1651,0.0435
-9.5892,2.5711,-3.7765,-0.1058,0.8409,0.7129
-10.8024,4.0899,-8.2624,0.6926,2.9193,2.1968
-13.9394,3.1896,-7.5870,1.3833,5.0036,3.0661
-17.1320,5.0471,-5.1242,1.3263,5.0036,3.3905
-13.5703,3.5533,-3.4074,1.7810,5.0036,3.2243
-6.1519,0.5324,-1.7509,0.8184,4.5331,2.4671
-0.6491,-2.3097,-5.2750,1.9120,2.0042,0.8169
-9.8578,-0.8668,-0.0467,-0.1518,-1.1409,-0.4429
-9.8578,-0.8668,-0.0467,0.0113,-0.9571,-0.4429
-10.1133,-0.8716,1.2628,-0.4924,-0.3916,-0.0644
-9.7519,0.7968,-2.0459,0.4096,1.2758,1.0237
-11.0016,0.9637,-3.0724,0.2257,2.9164,1.8535
-13.7665,3.5300,-3.7226,0.3732,4.8142,2.8924
-15.7543,4.9651,-5.2947,0.7236,5.0036,4.1226
-14.9611,4.1928,-6.8028,0.8189,5.0036,4.6023
-10.4148,1.6828,-4.7743,0.8192,5.0036,3.9746
-3.6712,-0.1860,-3.2937,0.6015,4.9120,2.5884
2.2235,0.4534,0.7256,0.7879,1.8526,0.5875
-9.1597,2.2373,-2.3934,0.5202,-0.2335,-0.0591
-9.1860,2.6052,-2.7619,0.1761,0.1287,0.2155
-9.6526,2.8259,-4.6427,0.0173,1.4394,1.0322
-12.5707,4.1761,-4.9011,0.8885,3.3822,2.4290
-15.1591,2.7332,-4.8933,0.9780,5.0036,3.3792
-15.4708,3.0084,-4.0104,1.9426,5.0036,3.1515
-12.1926,4.1294,-4.0062,0.6468,5.0036,3.0846
-6.9906,2.3372,-5.3474,1.0096,5.0036,2.8634
-2.0812,0.0275,-6.9051,0.8494,4.4610,2.1559
-9.9290,1.7109,-2.9444,-0.3144,-1.1787,-0.6384
-9.6072,1.9920,-2.8810,-0.1625,-0.8679,-0.3881
-9.1771,2.1996,-3.9613,-0.6127,0.1950,0.5122
-10.4877,2.3103,-5.7529,0.7216,2.4826,1.8386
-13.1821,1.8413,-4.4842,1.1944,4.4227,2.5985
-14.4491,3.3308,-3.5474,0.8086,5.0036,2.8613
-13.4895,4.0217,-6.0832,0.6397,5.0036,3.2293
-10.2191,3.1478,-5.0411,1.8865,5.0036,3.0511
-6.1848,0.7220,-6.9105,0.4010,4.5890,2.6757
-11.7039,1.7934,-2.6076,-1.1272,-2.6990,-1.9908
-11.7039,1.7934,-3.0156,-1.1272,-2.6990,-1.9908
-9.7280,1.2030,-5.3091,-0.4563,-1.2868,-0.9416
-8.6710,0.5827,-3.6538,1.0227,0.8552,0.5128
-10.1713,1.1545,-2.2929,-0.0145,2.5027,1.9513
-12.8393,2.9976,-3.9781,1.1359,3.9639,3.1052
-13.7414,2.1613,-5.9324,0.3714,5.0036,3.7361
-14.2935,3.1902,-6.3781,1.7706,5.0036,3.6206
-11.3414,2.9886,-4.1689,-0.2636,5.0036,3.3643
-10.4285,1.4985,-2.1003,-1.1063,-2.3886,-2.0569
-9.6203,2.1081,-2.1081,-1.1726,-2.1156,-1.8468
-9.3410,1.1952,-3.2895,-0.5234,-1.1522,-1.0357
-8.8708,-0.5031,-2.1003,0.6868,0.6747,0.3083
-10.5966,0.5659,-1.9460,0.5064,2.3549,1.3196
-13.4842,2.9880,-2.8283,1.0620,4.1139,2.4100
-15.1328,2.7416,-6.1250,0.3775,5.0036,3.4208
-16.8239,3.7442,-5.9737,1.4403,5.0036,3.7556
-14.4975,3.0233,-5.9898,0.6109,5.0036,3.9175
-8.4221,1.1480,-2.8337,1.8302,5.0036,3.1017
-10.3872,1.3322,-2.0770,-0.3600,-2.6076,-1.9300
-9.7442,1.1838,-1.9651,-0.3389,-2.2958,-1.6936
-9.3356,1.8215,-3.2142,-0.1176,-1.2233,-0.8538
-9.3482,1.7874,-3.2895,0.8564,1.1706,0.7967
-12.1053,1.3292,-3.6712,0.8993,3.7484,2.2187
-16.5679,2.4754,-3.2453,1.4899,5.0036,3.0667
-17.5890,4.4399,-2.1745,1.7973,5.0036,3.4499
-14.4850,1.8311,-4.4752,1.9685,5.0036,3.5064
-9.8219,1.0020,-1.7498,1.2112,5.0036,2.5983
-4.3627,0.4696,-3.8841,0.2891,4.4138,1.9283
-10.2251,1.4058,-4.0726,-1.4546,-2.1496,-1.1808
-9.3129,1.5500,-4.5583,-1.4546,-2.1496,-1.0392
-9.4875,2.3629,-3.0162,-0.0192,-0.4959,-0.2424
-10.0576,1.7533,-2.7021,-0.0698,1.5806,1.3728
-13.4363,1.2120,-3.3422,0.9613,3.5349,2.3815
-14.2744,0.7992,-3.2578,0.2752,4.6809,2.4517
-12.9823,1.7121,-1.9256,1.0763,5.0036,2.0582
-9.9356,3.6239,-2.4993,-0.2309,4.7217,2.1819
-6.4164,0.5653,-6.9858,1.4479,4.5050,2.0155
-4.1731,0.9416,-6.7448,-0.0925,4.2570,1.1026
-1.6576,4.3406,-6.0377,1.0861,3.2805,0.2854
1.6642,3.6766,-6.2219,0.6034,1.4419,0.0658
1.9161,2.4371,-8.3450,1.4716,-0.4041,-0.2540
-10.8485,0.2160,-3.5133,-0.2972,-2.2935,-0.8415
-10.4925,0.1944,-3.2201,-0.1642,-1.9619,-0.7462
-10.2263,1.3502,-3.1741,-0.3474,-0.8954,-0.2866
-10.7085,1.1683,-5.5238,-0.2934,1.9497,1.3873
-12.3667,-0.2955,-4.9992,0.8682,4.4250,1.9018
-14.2834,3.1358,-3.0066,0.8774,5.0036,2.0855
-12.0945,1.9573,-1.4393,0.9791,5.0036,2.1070
-8.9354,0.5725,-4.8957,0.4288,4.9721,1.9103
-6.0389,-0.1795,-3.8130,0.5669,4.0859,0.9972
-2.9342,0.3559,-5.0267,-0.4100,2.6099,0.0716
-0.4726,2.6949,-7.0576,-0.3231,1.0069,-0.6041
-0.1860,3.2022,-9.7555,-0.2324,-0.4808,-0.7523
-1.4638,3.2118,-9.3924,0.5762,-1.6275,-0.7393
-10.2491,1.0128,0.0377,-1.0258,-1.9907,-0.3864
-10.2491,1.0128,0.0377,-1.0258,-1.9907,-0.3864
-9.7328,0.3948,-2.0704,-0.2961,-1.0215,0.1104
-11.7422,1.2981,-3.4110,-0.2870,1.1614,1.3219
-13.2479,-0.7442,-1.9143,0.9103,3.8225,1.6467
-14.8235,2.4048,-0.7549,1.2242,4.7945,1.6475
-14.0614,4.4441,-2.4927,1.1338,4.9821,2.0270
-12.6700,5.0016,-7.8221,0.8867,5.0036,2.7072
-9.9374,-0.1615,-6.7125,2.1015,5.0036,2.3350
-5.5107,0.1531,-0.8752,1.1451,4.9697,1.2633
-0.0604,-0.4367,-0.2076,0.6324,2.1673,0.4027
-9.7310,0.0299,-0.5976,-0.8263,-1.5915,-0.9439
